2000000
code	freq(hz)
0x0	125000.0
0x1	62500.0
0x2	41666.666666666664
0x3	31250.0
0x4	25000.0
0x5	20833.333333333332
0x6	17857.14285714286
0x7	15625.0
0x8	13888.888888888889
0x9	12500.0
0xa	11363.636363636364
0xb	10416.666666666666
0xc	9615.384615384615
0xd	8928.57142857143
0xe	8333.333333333334
0xf	7812.5
0x10	7352.941176470588
0x11	6944.444444444444
0x12	6578.9473684210525
0x13	6250.0
0x14	5952.380952380952
0x15	5681.818181818182
0x16	5434.782608695652
0x17	5208.333333333333
0x18	5000.0
0x19	4807.692307692308
0x1a	4629.62962962963
0x1b	4464.285714285715
0x1c	4310.3448275862065
0x1d	4166.666666666667
0x1e	4032.2580645161293
0x1f	3906.25
0x20	3787.878787878788
0x21	3676.470588235294
0x22	3571.4285714285716
0x23	3472.222222222222
0x24	3378.3783783783783
0x25	3289.4736842105262
0x26	3205.128205128205
0x27	3125.0
0x28	3048.7804878048782
0x29	2976.190476190476
0x2a	2906.9767441860463
0x2b	2840.909090909091
0x2c	2777.777777777778
0x2d	2717.391304347826
0x2e	2659.574468085106
0x2f	2604.1666666666665
0x30	2551.0204081632655
0x31	2500.0
0x32	2450.9803921568628
0x33	2403.846153846154
0x34	2358.490566037736
0x35	2314.814814814815
0x36	2272.7272727272725
0x37	2232.1428571428573
0x38	2192.9824561403507
0x39	2155.1724137931033
0x3a	2118.64406779661
0x3b	2083.3333333333335
0x3c	2049.1803278688526
0x3d	2016.1290322580646
0x3e	1984.126984126984
0x3f	1953.125
0x40	1923.076923076923
0x41	1893.939393939394
0x42	1865.6716417910447
0x43	1838.235294117647
0x44	1811.5942028985507
0x45	1785.7142857142858
0x46	1760.5633802816901
0x47	1736.111111111111
0x48	1712.3287671232877
0x49	1689.1891891891892
0x4a	1666.6666666666667
0x4b	1644.7368421052631
0x4c	1623.3766233766235
0x4d	1602.5641025641025
0x4e	1582.2784810126582
0x4f	1562.5
0x50	1543.20987654321
0x51	1524.3902439024391
0x52	1506.0240963855422
0x53	1488.095238095238
0x54	1470.5882352941176
0x55	1453.4883720930231
0x56	1436.7816091954023
0x57	1420.4545454545455
0x58	1404.4943820224719
0x59	1388.888888888889
0x5a	1373.6263736263736
0x5b	1358.695652173913
0x5c	1344.0860215053763
0x5d	1329.787234042553
0x5e	1315.7894736842106
0x5f	1302.0833333333333
0x60	1288.659793814433
0x61	1275.5102040816328
0x62	1262.6262626262626
0x63	1250.0
0x64	1237.6237623762377
0x65	1225.4901960784314
0x66	1213.5922330097087
0x67	1201.923076923077
0x68	1190.4761904761904
0x69	1179.245283018868
0x6a	1168.2242990654206
0x6b	1157.4074074074074
0x6c	1146.788990825688
0x6d	1136.3636363636363
0x6e	1126.126126126126
0x6f	1116.0714285714287
0x70	1106.1946902654868
0x71	1096.4912280701753
0x72	1086.9565217391305
0x73	1077.5862068965516
0x74	1068.3760683760684
0x75	1059.322033898305
0x76	1050.420168067227
0x77	1041.6666666666667
0x78	1033.0578512396694
0x79	1024.5901639344263
0x7a	1016.260162601626
0x7b	1008.0645161290323
0x7c	1000.0
0x7d	992.063492063492
0x7e	984.2519685039371
0x7f	976.5625
0x80	968.9922480620155
0x81	961.5384615384615
0x82	954.1984732824427
0x83	946.969696969697
0x84	939.8496240601504
0x85	932.8358208955224
0x86	925.925925925926
0x87	919.1176470588235
0x88	912.4087591240876
0x89	905.7971014492754
0x8a	899.2805755395683
0x8b	892.8571428571429
0x8c	886.5248226950355
0x8d	880.2816901408451
0x8e	874.1258741258741
0x8f	868.0555555555555
0x90	862.0689655172414
0x91	856.1643835616438
0x92	850.3401360544218
0x93	844.5945945945946
0x94	838.9261744966443
0x95	833.3333333333334
0x96	827.8145695364238
0x97	822.3684210526316
0x98	816.9934640522875
0x99	811.6883116883117
0x9a	806.4516129032259
0x9b	801.2820512820513
0x9c	796.1783439490446
0x9d	791.1392405063291
0x9e	786.1635220125786
0x9f	781.25
0xa0	776.3975155279503
0xa1	771.604938271605
0xa2	766.8711656441718
0xa3	762.1951219512196
0xa4	757.5757575757576
0xa5	753.0120481927711
0xa6	748.502994011976
0xa7	744.047619047619
0xa8	739.6449704142012
0xa9	735.2941176470588
0xaa	730.9941520467836
0xab	726.7441860465116
0xac	722.543352601156
0xad	718.3908045977012
0xae	714.2857142857143
0xaf	710.2272727272727
0xb0	706.2146892655368
0xb1	702.2471910112359
0xb2	698.3240223463687
0xb3	694.4444444444445
0xb4	690.6077348066299
0xb5	686.8131868131868
0xb6	683.0601092896175
0xb7	679.3478260869565
0xb8	675.6756756756756
0xb9	672.0430107526881
0xba	668.4491978609626
0xbb	664.8936170212766
0xbc	661.3756613756614
0xbd	657.8947368421053
0xbe	654.4502617801047
0xbf	651.0416666666666
0xc0	647.6683937823834
0xc1	644.3298969072165
0xc2	641.025641025641
0xc3	637.7551020408164
0xc4	634.5177664974619
0xc5	631.3131313131313
0xc6	628.1407035175879
0xc7	625.0
0xc8	621.8905472636816
0xc9	618.8118811881188
0xca	615.7635467980296
0xcb	612.7450980392157
0xcc	609.7560975609756
0xcd	606.7961165048544
0xce	603.864734299517
0xcf	600.9615384615385
